iter	Logloss
0	0.4598995601
1	0.4351593437
2	0.4225834958
3	0.4170187248
4	0.4106635551
5	0.3982946338
6	0.3917757081
7	0.3846517085
8	0.3792813877
9	0.3738310492
10	0.3706213955
11	0.3631700745
12	0.3588814301
13	0.3562650253
14	0.3509003078
15	0.3473848434
16	0.3425185291
17	0.3377111327
18	0.3337204377
19	0.3249696519
20	0.3202197107
21	0.3160904803
22	0.3134175644
23	0.3061128801
24	0.3036632648
25	0.3007930722
26	0.298176535
27	0.2917834667
28	0.2872004309
29	0.284007176
30	0.2802715688
31	0.2753182092
32	0.2724058231
33	0.2700234232
34	0.2672369111
35	0.2642029488
36	0.258412749
37	0.2532913716
38	0.2513392458
39	0.2490772269
40	0.2459119143
41	0.2439938834
42	0.2390192863
43	0.2359245814
44	0.2341228104
45	0.2324328471
46	0.2297895103
47	0.2278620034
48	0.2243337949
49	0.2213680527
50	0.2170460228
51	0.2134270813
52	0.2117669206
53	0.2090899444
54	0.2069033279
55	0.2052506807
56	0.2034211497
57	0.2021209093
58	0.1997041385
59	0.196756396
60	0.19463156
61	0.1916264839
62	0.1899458945
63	0.1876102149
64	0.1859242692
65	0.1845719245
66	0.1825529932
67	0.1798356577
68	0.1776557583
69	0.1761924023
70	0.174703569
71	0.1729613013
72	0.1715604793
73	0.1701832328
74	0.1687187134
75	0.1671005061
76	0.165534025
77	0.1639085292
78	0.1629692221
79	0.1620724467
80	0.1603170373
81	0.1597286975
82	0.1585662762
83	0.1572610576
84	0.1557208681
85	0.1539263042
86	0.1523149962
87	0.1503505251
88	0.1491323532
89	0.1477547796
90	0.1462917066
91	0.1452794731
92	0.143882953
93	0.1434299218
94	0.1417628853
95	0.1405457802
96	0.1397045083
97	0.1387338652
98	0.1378629811
99	0.1367471656
100	0.1345525236
101	0.1340149136
102	0.1328714456
103	0.1319207648
104	0.1303234639
105	0.1296035695
106	0.1287400967
107	0.1282360543
108	0.1275429843
109	0.1265858017
110	0.1254206256
111	0.1249397639
112	0.1243911831
113	0.1238419095
114	0.1228001949
115	0.1217236871
116	0.1202601558
117	0.1193737673
118	0.1188027786
119	0.1182080475
120	0.1172122238
121	0.1164176543
122	0.115865833
123	0.1150265333
124	0.1143767057
125	0.1130932671
126	0.1124967542
127	0.1115626019
128	0.1104497081
129	0.1099458231
130	0.1090132234
131	0.1082391932
132	0.1078407368
133	0.1066587824
134	0.1055663519
135	0.1043085038
136	0.1031633341
137	0.1026653477
138	0.1021126334
139	0.1013869108
140	0.1007306545
141	0.1002621754
142	0.09966592195
143	0.09903154635
144	0.09842375494
145	0.09782187466
146	0.09713471712
147	0.0966993786
148	0.09570892295
149	0.09499456776
150	0.09420614822
151	0.09364481083
152	0.09321795393
153	0.09279145932
154	0.09196964463
155	0.09158519795
156	0.0905558818
157	0.08986879396
158	0.08927741168
159	0.08864009087
160	0.08781012302
161	0.08692355853
162	0.08642036766
163	0.08561816126
164	0.08506986201
165	0.0847294334
166	0.08418348177
167	0.08356464996
168	0.08305959177
169	0.08237503372
170	0.08183103015
171	0.08136929444
172	0.08098869213
173	0.08020858723
174	0.07962208512
175	0.07923425434
176	0.0787862227
177	0.07845318887
178	0.07787465221
179	0.07750096645
180	0.07709712334
181	0.07667458351
182	0.07620785447
183	0.07581756291
184	0.07535658835
185	0.07499706003
186	0.07476356854
187	0.07382192695
188	0.07321435429
189	0.07249739615
190	0.07175279664
191	0.07131845872
192	0.07101816724
193	0.0704644827
194	0.07008300262
195	0.06950639057
196	0.06930896342
197	0.06886258588
198	0.06826801825
199	0.06779262126
200	0.06743064458
201	0.06683806987
202	0.06648858066
203	0.06634217716
204	0.06587714155
205	0.06556815314
206	0.06513838623
207	0.06466305618
208	0.06435340048
209	0.06408443327
210	0.06358290892
211	0.06310925159
212	0.06287575182
213	0.06269406444
214	0.06232560112
215	0.06199386875
216	0.06154871056
217	0.06134338144
218	0.06096631297
219	0.06068868057
220	0.06047242354
221	0.05991624164
222	0.05944327922
223	0.0589437816
224	0.05855061797
225	0.0581012966
226	0.05788693173
227	0.0577172681
228	0.05755701286
229	0.05722919939
230	0.05703865291
231	0.05671843088
232	0.0564084474
233	0.05606662692
234	0.05587191037
235	0.05556303651
236	0.0552655474
237	0.05484082764
238	0.05445706344
239	0.05420079625
240	0.05387402961
241	0.05330288565
242	0.05294762265
243	0.05270698481
244	0.05232582769
245	0.05211538171
246	0.05188217177
247	0.05176860448
248	0.05143601919
249	0.05120015731
250	0.0509509364
251	0.05074828406
252	0.05054439995
253	0.0502696265
254	0.05008318041
255	0.04979349114
256	0.04933078865
257	0.04923641492
258	0.04908306864
259	0.04877222533
260	0.04855150838
261	0.04838705201
262	0.04808862026
263	0.04775415247
264	0.04755229405
265	0.04742569861
266	0.04717158547
267	0.04687321583
268	0.0467027079
269	0.04651243228
270	0.04624886382
271	0.04607892071
272	0.04574224021
273	0.04553393966
274	0.0453570586
275	0.04520077091
276	0.0449206767
277	0.04461313088
278	0.04425657917
279	0.04402986208
